Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_12_81,VPWR,li1,68.0800,68.0000,1.800000
FILLER_0_12_69,VPWR,li1,64.8600,68.0000,1.800000
FILLER_0_12_57,VPWR,li1,59.3400,68.0000,1.800000
FILLER_0_12_53,VPWR,li1,55.4300,68.0000,1.800000
FILLER_0_12_41,VPWR,li1,51.9800,68.0000,1.800000
FILLER_0_12_29,VPWR,li1,46.4600,68.0000,1.800000
FILLER_0_12_27,VPWR,li1,43.0100,68.0000,1.800000
FILLER_0_12_15,VPWR,li1,40.0200,68.0000,1.800000
FILLER_0_12_3,VPWR,li1,34.5000,68.0000,1.800000
FILLER_0_11_81,VPWR,li1,68.0800,62.5600,1.800000
FILLER_0_11_69,VPWR,li1,64.8600,62.5600,1.800000
FILLER_0_11_57,VPWR,li1,59.3400,62.5600,1.800000
FILLER_0_11_55,VPWR,li1,55.8900,62.5600,1.800000
FILLER_0_11_51,VPWR,li1,54.7400,62.5600,1.800000
FILLER_0_11_39,VPWR,li1,51.0600,62.5600,1.800000
FILLER_0_11_27,VPWR,li1,45.5400,62.5600,1.800000
FILLER_0_11_15,VPWR,li1,40.0200,62.5600,1.800000
FILLER_0_11_3,VPWR,li1,34.5000,62.5600,1.800000
FILLER_0_10_77,VPWR,li1,67.1600,62.5600,1.800000
FILLER_0_10_65,VPWR,li1,63.0200,62.5600,1.800000
FILLER_0_10_53,VPWR,li1,57.5000,62.5600,1.800000
FILLER_0_10_41,VPWR,li1,51.9800,62.5600,1.800000
FILLER_0_10_29,VPWR,li1,46.4600,62.5600,1.800000
FILLER_0_10_27,VPWR,li1,43.0100,62.5600,1.800000
FILLER_0_10_15,VPWR,li1,40.0200,62.5600,1.800000
FILLER_0_10_3,VPWR,li1,34.5000,62.5600,1.800000
FILLER_0_9_81,VPWR,li1,68.0800,57.1200,1.800000
FILLER_0_9_69,VPWR,li1,64.8600,57.1200,1.800000
FILLER_0_9_57,VPWR,li1,59.3400,57.1200,1.800000
FILLER_0_9_55,VPWR,li1,55.8900,57.1200,1.800000
FILLER_0_9_51,VPWR,li1,54.7400,57.1200,1.800000
FILLER_0_9_39,VPWR,li1,51.0600,57.1200,1.800000
FILLER_0_9_27,VPWR,li1,45.5400,57.1200,1.800000
FILLER_0_9_15,VPWR,li1,40.0200,57.1200,1.800000
FILLER_0_9_3,VPWR,li1,34.5000,57.1200,1.800000
FILLER_0_8_77,VPWR,li1,67.1600,57.1200,1.800000
FILLER_0_8_65,VPWR,li1,63.0200,57.1200,1.800000
FILLER_0_8_53,VPWR,li1,57.5000,57.1200,1.800000
FILLER_0_8_41,VPWR,li1,51.9800,57.1200,1.800000
FILLER_0_8_29,VPWR,li1,46.4600,57.1200,1.800000
FILLER_0_8_27,VPWR,li1,43.0100,57.1200,1.800000
FILLER_0_8_15,VPWR,li1,40.0200,57.1200,1.800000
FILLER_0_8_3,VPWR,li1,34.5000,57.1200,1.800000
FILLER_0_7_81,VPWR,li1,68.0800,51.6800,1.800000
FILLER_0_7_69,VPWR,li1,64.8600,51.6800,1.800000
FILLER_0_7_57,VPWR,li1,59.3400,51.6800,1.799999
FILLER_0_7_54,VPWR,li1,55.6600,51.6800,1.799999
FILLER_0_7_42,VPWR,li1,52.4400,51.6800,1.799999
FILLER_0_7_30,VPWR,li1,46.9200,51.6800,1.799999
FILLER_0_7_18,VPWR,li1,41.4000,51.6800,1.799998
FILLER_0_7_6,VPWR,li1,35.8800,51.6800,1.799999
FILLER_0_6_77,VPWR,li1,67.1600,51.6800,1.800000
FILLER_0_6_65,VPWR,li1,63.0200,51.6800,1.799999
FILLER_0_6_53,VPWR,li1,57.5000,51.6800,1.799999
FILLER_0_6_41,VPWR,li1,51.9800,51.6800,1.799999
FILLER_0_6_29,VPWR,li1,46.4600,51.6800,1.799999
FILLER_0_6_6,VPWR,li1,33.3500,51.6800,1.799999
FILLER_0_5_81,VPWR,li1,68.0800,46.2400,1.800000
FILLER_0_5_69,VPWR,li1,64.8600,46.2400,1.800000
FILLER_0_5_57,VPWR,li1,59.3400,46.2400,1.800000
FILLER_0_5_53,VPWR,li1,55.4300,46.2400,1.800000
FILLER_0_5_41,VPWR,li1,51.9800,46.2400,1.800000
FILLER_0_5_29,VPWR,li1,46.4600,46.2400,1.800000
FILLER_0_5_17,VPWR,li1,40.9400,46.2400,1.800000
FILLER_0_5_11,VPWR,li1,36.1100,46.2400,1.800000
FILLER_0_5_3,VPWR,li1,33.5800,46.2400,1.800000
FILLER_0_4_77,VPWR,li1,67.1600,46.2400,1.800000
FILLER_0_4_65,VPWR,li1,63.0200,46.2400,1.800000
FILLER_0_4_53,VPWR,li1,57.5000,46.2400,1.800000
FILLER_0_4_41,VPWR,li1,51.9800,46.2400,1.800000
FILLER_0_4_29,VPWR,li1,46.4600,46.2400,1.800000
FILLER_0_4_27,VPWR,li1,43.0100,46.2400,1.800000
FILLER_0_4_15,VPWR,li1,40.0200,46.2400,1.800000
FILLER_0_4_3,VPWR,li1,34.5000,46.2400,1.800000
FILLER_0_3_81,VPWR,li1,68.0800,40.8000,1.800000
FILLER_0_3_69,VPWR,li1,64.8600,40.8000,1.800000
FILLER_0_3_57,VPWR,li1,59.3400,40.8000,1.800000
FILLER_0_3_55,VPWR,li1,55.8900,40.8000,1.800000
FILLER_0_3_51,VPWR,li1,54.7400,40.8000,1.800000
FILLER_0_3_39,VPWR,li1,51.0600,40.8000,1.800000
FILLER_0_3_27,VPWR,li1,45.5400,40.8000,1.800000
FILLER_0_3_15,VPWR,li1,40.0200,40.8000,1.800000
FILLER_0_3_3,VPWR,li1,34.5000,40.8000,1.800000
FILLER_0_2_77,VPWR,li1,67.1600,40.8000,1.800000
FILLER_0_2_65,VPWR,li1,63.0200,40.8000,1.800000
FILLER_0_2_53,VPWR,li1,57.5000,40.8000,1.800000
FILLER_0_2_41,VPWR,li1,51.9800,40.8000,1.800000
FILLER_0_2_29,VPWR,li1,46.4600,40.8000,1.800000
FILLER_0_2_27,VPWR,li1,43.0100,40.8000,1.800000
FILLER_0_2_15,VPWR,li1,40.0200,40.8000,1.800000
FILLER_0_2_3,VPWR,li1,34.5000,40.8000,1.800000
FILLER_0_1_81,VPWR,li1,68.0800,35.3600,1.800000
FILLER_0_1_69,VPWR,li1,64.8600,35.3600,1.800000
FILLER_0_1_57,VPWR,li1,59.3400,35.3600,1.800000
FILLER_0_1_55,VPWR,li1,55.8900,35.3600,1.800000
FILLER_0_1_51,VPWR,li1,54.7400,35.3600,1.800000
FILLER_0_1_39,VPWR,li1,51.0600,35.3600,1.800000
FILLER_0_1_27,VPWR,li1,45.5400,35.3600,1.800000
FILLER_0_1_15,VPWR,li1,40.0200,35.3600,1.800000
FILLER_0_1_3,VPWR,li1,34.5000,35.3600,1.800000
FILLER_0_0_81,VPWR,li1,68.0800,35.3600,1.800000
FILLER_0_0_69,VPWR,li1,64.8600,35.3600,1.800000
FILLER_0_0_57,VPWR,li1,59.3400,35.3600,1.800000
FILLER_0_0_53,VPWR,li1,55.4300,35.3600,1.800000
FILLER_0_0_41,VPWR,li1,51.9800,35.3600,1.800000
FILLER_0_0_29,VPWR,li1,46.4600,35.3600,1.800000
FILLER_0_0_27,VPWR,li1,43.0100,35.3600,1.800000
FILLER_0_0_15,VPWR,li1,40.0200,35.3600,1.800000
FILLER_0_0_3,VPWR,li1,34.5000,35.3600,1.800000
input2,VPWR,li1,32.4300,51.6800,1.799999
input1,VPWR,li1,32.4300,51.6800,1.799999
TAP_TAPCELL_ROW_12_40,VPWR,li1,56.3500,67.6930,1.800000
TAP_TAPCELL_ROW_12_39,VPWR,li1,43.4700,67.6930,1.800000
TAP_TAPCELL_ROW_11_38,VPWR,li1,56.3500,62.8660,1.800000
TAP_TAPCELL_ROW_10_37,VPWR,li1,43.4700,62.2530,1.800000
TAP_TAPCELL_ROW_9_36,VPWR,li1,56.3500,57.4260,1.800000
TAP_TAPCELL_ROW_8_35,VPWR,li1,43.4700,56.8130,1.800000
TAP_TAPCELL_ROW_7_34,VPWR,li1,56.3500,51.9860,1.799999
TAP_TAPCELL_ROW_6_33,VPWR,li1,43.4700,51.3730,1.799998
TAP_TAPCELL_ROW_5_32,VPWR,li1,56.3500,46.5460,1.800000
TAP_TAPCELL_ROW_4_31,VPWR,li1,43.4700,45.9330,1.800000
TAP_TAPCELL_ROW_3_30,VPWR,li1,56.3500,41.1060,1.800000
TAP_TAPCELL_ROW_2_29,VPWR,li1,43.4700,40.4930,1.800000
TAP_TAPCELL_ROW_1_28,VPWR,li1,56.3500,35.6660,1.800000
TAP_TAPCELL_ROW_0_27,VPWR,li1,56.3500,35.0530,1.800000
TAP_TAPCELL_ROW_0_26,VPWR,li1,43.4700,35.0530,1.800000
PHY_EDGE_ROW_12_Left_25,VPWR,li1,31.0500,68.0000,1.800000
PHY_EDGE_ROW_11_Left_24,VPWR,li1,31.0500,62.5600,1.800000
PHY_EDGE_ROW_10_Left_23,VPWR,li1,31.0500,62.5600,1.800000
PHY_EDGE_ROW_9_Left_22,VPWR,li1,31.0500,57.1200,1.800000
PHY_EDGE_ROW_8_Left_21,VPWR,li1,31.0500,57.1200,1.800000
PHY_EDGE_ROW_7_Left_20,VPWR,li1,31.0500,51.6800,1.799999
PHY_EDGE_ROW_6_Left_19,VPWR,li1,31.0500,51.6800,1.799999
PHY_EDGE_ROW_5_Left_18,VPWR,li1,31.0500,46.2400,1.800000
PHY_EDGE_ROW_4_Left_17,VPWR,li1,31.0500,46.2400,1.800000
PHY_EDGE_ROW_3_Left_16,VPWR,li1,31.0500,40.8000,1.800000
PHY_EDGE_ROW_2_Left_15,VPWR,li1,31.0500,40.8000,1.800000
PHY_EDGE_ROW_1_Left_14,VPWR,li1,31.0500,35.3600,1.800000
PHY_EDGE_ROW_0_Left_13,VPWR,li1,31.0500,35.3600,1.800000
PHY_EDGE_ROW_12_Right_12,VPWR,li1,69.2300,68.0000,1.800000
PHY_EDGE_ROW_11_Right_11,VPWR,li1,69.2300,62.5600,1.800000
PHY_EDGE_ROW_10_Right_10,VPWR,li1,69.2300,62.5600,1.800000
PHY_EDGE_ROW_9_Right_9,VPWR,li1,69.2300,57.1200,1.800000
PHY_EDGE_ROW_8_Right_8,VPWR,li1,69.2300,57.1200,1.800000
PHY_EDGE_ROW_7_Right_7,VPWR,li1,69.2300,51.6800,1.800000
PHY_EDGE_ROW_6_Right_6,VPWR,li1,69.2300,51.6800,1.800000
PHY_EDGE_ROW_5_Right_5,VPWR,li1,69.2300,46.2400,1.800000
PHY_EDGE_ROW_4_Right_4,VPWR,li1,69.2300,46.2400,1.800000
PHY_EDGE_ROW_3_Right_3,VPWR,li1,69.2300,40.8000,1.800000
PHY_EDGE_ROW_2_Right_2,VPWR,li1,69.2300,40.8000,1.800000
PHY_EDGE_ROW_1_Right_1,VPWR,li1,69.2300,35.3600,1.800000
PHY_EDGE_ROW_0_Right_0,VPWR,li1,69.2300,35.3600,1.800000
_2_,VPWR,li1,38.4100,51.6800,1.799998
_1_,VPWR,li1,37.4900,46.2400,1.800000
